log,total_events,max_inactive,min_inactive,ratio,total_mem_bytes,div_mem_bytes,seen_mem_bytes,active_objs,fitness,precision,f1_score,duration_ms
reasoning_benchmark.json,31709,6342,634,0.1000,1361295,716856,48,288,1.0000,1.0000,1.0000,30
reasoning_benchmark.json,31709,6342,1268,0.1999,1317423,673144,48,291,1.0000,1.0000,1.0000,31
reasoning_benchmark.json,31709,6342,3171,0.5000,1335615,691640,48,304,1.0000,1.0000,1.0000,30
reasoning_benchmark.json,31709,6342,5074,0.8001,1313663,670840,48,311,1.0000,1.0000,1.0000,29
reasoning_benchmark.json,31709,6342,6342,1.0000,1369983,726328,48,319,1.0000,1.0000,1.0000,29
reasoning_benchmark.json,31709,15855,0,0.0000,2195791,1501816,48,650,1.0000,1.0000,1.0000,31
reasoning_benchmark.json,31709,15855,793,0.0500,2278559,1583736,48,651,1.0000,1.0000,1.0000,31
reasoning_benchmark.json,31709,15855,1586,0.1000,2275391,1580280,48,652,1.0000,1.0000,1.0000,31
reasoning_benchmark.json,31709,15855,3171,0.2000,2274655,1578232,48,673,1.0000,1.0000,1.0000,30
reasoning_benchmark.json,31709,15855,7928,0.5000,2275471,1576824,48,720,1.0000,1.0000,1.0000,30
reasoning_benchmark.json,31709,15855,12684,0.8000,2212447,1512696,48,762,1.0000,1.0000,1.0000,30
reasoning_benchmark.json,31709,15855,15855,1.0000,2284543,1581816,48,809,1.0000,1.0000,1.0000,29
reasoning_benchmark.json,31709,31709,31709,1.0000,3344271,2611064,48,1645,1.0000,1.0000,1.0000,29
