log,event_index,offline_ns,online_ns
Period20_procedure_steps_all_additional_event_types.json,114,,13083
Period20_procedure_steps_all_additional_event_types.json,115,,14083
Period20_procedure_steps_all_additional_event_types.json,116,,15375
Period20_procedure_steps_all_additional_event_types.json,117,,20000
Period20_procedure_steps_all_additional_event_types.json,118,,13292
Period20_procedure_steps_all_additional_event_types.json,119,,13125
Period20_procedure_steps_all_additional_event_types.json,120,,13458
Period20_procedure_steps_all_additional_event_types.json,121,,13000
Period20_procedure_steps_all_additional_event_types.json,122,,13000
Period20_procedure_steps_all_additional_event_types.json,123,,12500
Period20_procedure_steps_all_additional_event_types.json,124,,12375
Period20_procedure_steps_all_additional_event_types.json,125,,12459
Period20_procedure_steps_all_additional_event_types.json,126,,18333
Period20_procedure_steps_all_additional_event_types.json,127,,12625
Period20_procedure_steps_all_additional_event_types.json,128,,15417
Period20_procedure_steps_all_additional_event_types.json,129,,11958
Period20_procedure_steps_all_additional_event_types.json,130,,13041
Period20_procedure_steps_all_additional_event_types.json,131,,12333
Period20_procedure_steps_all_additional_event_types.json,132,,12042
Period20_procedure_steps_all_additional_event_types.json,133,,12375
Period20_procedure_steps_all_additional_event_types.json,134,,12708
Period20_procedure_steps_all_additional_event_types.json,135,,11917
Period20_procedure_steps_all_additional_event_types.json,136,,13417
Period20_procedure_steps_all_additional_event_types.json,137,,13458
Period20_procedure_steps_all_additional_event_types.json,138,,12833
Period20_procedure_steps_all_additional_event_types.json,139,,24959
Period20_procedure_steps_all_additional_event_types.json,140,,12625
Period20_procedure_steps_all_additional_event_types.json,141,,13167
Period20_procedure_steps_all_additional_event_types.json,142,,12958
Period20_procedure_steps_all_additional_event_types.json,143,,13083
Period20_procedure_steps_all_additional_event_types.json,144,,12208
Period20_procedure_steps_all_additional_event_types.json,145,,13083
Period20_procedure_steps_all_additional_event_types.json,146,,14208
Period20_procedure_steps_all_additional_event_types.json,147,,12917
Period20_procedure_steps_all_additional_event_types.json,148,,13084
Period20_procedure_steps_all_additional_event_types.json,149,,13334
Period20_procedure_steps_all_additional_event_types.json,150,,13084
Period20_procedure_steps_all_additional_event_types.json,151,17664834,68958
Period20_procedure_steps_all_additional_event_types.json,152,,21334
Period20_procedure_steps_all_additional_event_types.json,153,,16791
Period20_procedure_steps_all_additional_event_types.json,154,,16000
Period20_procedure_steps_all_additional_event_types.json,155,,17375
Period20_procedure_steps_all_additional_event_types.json,156,,14167
Period20_procedure_steps_all_additional_event_types.json,157,,14958
Period20_procedure_steps_all_additional_event_types.json,158,,13667
Period20_procedure_steps_all_additional_event_types.json,159,,17166
Period20_procedure_steps_all_additional_event_types.json,160,,16167
Period20_procedure_steps_all_additional_event_types.json,161,,16916
Period20_procedure_steps_all_additional_event_types.json,162,,14375
Period20_procedure_steps_all_additional_event_types.json,163,,13625
Period20_procedure_steps_all_additional_event_types.json,164,,14875
Period20_procedure_steps_all_additional_event_types.json,165,,14333
Period20_procedure_steps_all_additional_event_types.json,166,,14958
Period20_procedure_steps_all_additional_event_types.json,167,,14750
Period20_procedure_steps_all_additional_event_types.json,168,,15833
Period20_procedure_steps_all_additional_event_types.json,169,,17334
Period20_procedure_steps_all_additional_event_types.json,170,,16625
Period20_procedure_steps_all_additional_event_types.json,171,,16000
Period20_procedure_steps_all_additional_event_types.json,172,,15041
Period20_procedure_steps_all_additional_event_types.json,173,,18250
Period20_procedure_steps_all_additional_event_types.json,174,,17667
Period20_procedure_steps_all_additional_event_types.json,175,,16000
Period20_procedure_steps_all_additional_event_types.json,176,,16250
Period20_procedure_steps_all_additional_event_types.json,177,,15875
Period20_procedure_steps_all_additional_event_types.json,178,,16916
Period20_procedure_steps_all_additional_event_types.json,179,,18333
Period20_procedure_steps_all_additional_event_types.json,180,,15709
Period20_procedure_steps_all_additional_event_types.json,181,,15667
Period20_procedure_steps_all_additional_event_types.json,182,,15334
Period20_procedure_steps_all_additional_event_types.json,183,,16000
Period20_procedure_steps_all_additional_event_types.json,184,,18208
Period20_procedure_steps_all_additional_event_types.json,185,,17584
Period20_procedure_steps_all_additional_event_types.json,186,,17583
Period20_procedure_steps_all_additional_event_types.json,187,,17750
Period20_procedure_steps_all_additional_event_types.json,188,,20833
Period20_procedure_steps_all_additional_event_types.json,189,,17291
Period20_procedure_steps_all_additional_event_types.json,190,,17000
Period20_procedure_steps_all_additional_event_types.json,191,,15500
Period20_procedure_steps_all_additional_event_types.json,192,,16709
Period20_procedure_steps_all_additional_event_types.json,193,,18125
Period20_procedure_steps_all_additional_event_types.json,194,,15917
Period20_procedure_steps_all_additional_event_types.json,195,,17166
Period20_procedure_steps_all_additional_event_types.json,196,,16541
Period20_procedure_steps_all_additional_event_types.json,197,,16042
Period20_procedure_steps_all_additional_event_types.json,198,,15875
Period20_procedure_steps_all_additional_event_types.json,199,,16500
Period20_procedure_steps_all_additional_event_types.json,200,,15792
Period20_procedure_steps_all_additional_event_types.json,201,18562208,66750
Period20_procedure_steps_all_additional_event_types.json,202,,20000
Period20_procedure_steps_all_additional_event_types.json,203,,23542
Period20_procedure_steps_all_additional_event_types.json,204,,19750
Period20_procedure_steps_all_additional_event_types.json,205,,15916
Period20_procedure_steps_all_additional_event_types.json,206,,16417
Period20_procedure_steps_all_additional_event_types.json,207,,16167
Period20_procedure_steps_all_additional_event_types.json,208,,16209
Period20_procedure_steps_all_additional_event_types.json,209,,17084
Period20_procedure_steps_all_additional_event_types.json,210,,16500
Period20_procedure_steps_all_additional_event_types.json,211,,16084
Period20_procedure_steps_all_additional_event_types.json,212,,15958
Period20_procedure_steps_all_additional_event_types.json,213,,16834
Period20_procedure_steps_all_additional_event_types.json,214,,20625
Period20_procedure_steps_all_additional_event_types.json,215,,15833
Period20_procedure_steps_all_additional_event_types.json,216,,19167
Period20_procedure_steps_all_additional_event_types.json,217,,15542
Period20_procedure_steps_all_additional_event_types.json,218,,15750
Period20_procedure_steps_all_additional_event_types.json,219,,15833
Period20_procedure_steps_all_additional_event_types.json,220,,15792
Period20_procedure_steps_all_additional_event_types.json,221,,18541
Period20_procedure_steps_all_additional_event_types.json,222,,18166
Period20_procedure_steps_all_additional_event_types.json,223,,14625
Period20_procedure_steps_all_additional_event_types.json,224,,14583
Period20_procedure_steps_all_additional_event_types.json,225,,15375
Period20_procedure_steps_all_additional_event_types.json,226,,16666
Period20_procedure_steps_all_additional_event_types.json,227,,16709
Period20_procedure_steps_all_additional_event_types.json,228,,15584
Period20_procedure_steps_all_additional_event_types.json,229,,16792
Period20_procedure_steps_all_additional_event_types.json,230,,15666
Period20_procedure_steps_all_additional_event_types.json,231,,15500
Period20_procedure_steps_all_additional_event_types.json,232,,15542
Period20_procedure_steps_all_additional_event_types.json,233,,15458
Period20_procedure_steps_all_additional_event_types.json,234,,17625
Period20_procedure_steps_all_additional_event_types.json,235,,15875
Period20_procedure_steps_all_additional_event_types.json,236,,15625
Period20_procedure_steps_all_additional_event_types.json,237,,15750
Period20_procedure_steps_all_additional_event_types.json,238,,15875
Period20_procedure_steps_all_additional_event_types.json,239,,17875
Period20_procedure_steps_all_additional_event_types.json,240,,16375
Period20_procedure_steps_all_additional_event_types.json,241,,15750
Period20_procedure_steps_all_additional_event_types.json,242,,20709
Period20_procedure_steps_all_additional_event_types.json,243,,16750
Period20_procedure_steps_all_additional_event_types.json,244,,15500
Period20_procedure_steps_all_additional_event_types.json,245,,18375
Period20_procedure_steps_all_additional_event_types.json,246,,15083
Period20_procedure_steps_all_additional_event_types.json,247,,16250
Period20_procedure_steps_all_additional_event_types.json,248,,16667
Period20_procedure_steps_all_additional_event_types.json,249,,15334
Period20_procedure_steps_all_additional_event_types.json,250,,20916
Period20_procedure_steps_all_additional_event_types.json,251,17897916,59000
Period20_procedure_steps_all_additional_event_types.json,252,,19584
Period20_procedure_steps_all_additional_event_types.json,253,,18625
Period20_procedure_steps_all_additional_event_types.json,254,,18708
Period20_procedure_steps_all_additional_event_types.json,255,,18542
Period20_procedure_steps_all_additional_event_types.json,256,,16167
Period20_procedure_steps_all_additional_event_types.json,257,,18083
Period20_procedure_steps_all_additional_event_types.json,258,,15792
Period20_procedure_steps_all_additional_event_types.json,259,,17458
Period20_procedure_steps_all_additional_event_types.json,260,,16708
Period20_procedure_steps_all_additional_event_types.json,261,,15750
Period20_procedure_steps_all_additional_event_types.json,262,,15416
Period20_procedure_steps_all_additional_event_types.json,263,,16458
Period20_procedure_steps_all_additional_event_types.json,264,,17083
Period20_procedure_steps_all_additional_event_types.json,265,,15125
Period20_procedure_steps_all_additional_event_types.json,266,,16750
Period20_procedure_steps_all_additional_event_types.json,267,,15666
Period20_procedure_steps_all_additional_event_types.json,268,,17334
Period20_procedure_steps_all_additional_event_types.json,269,,16125
Period20_procedure_steps_all_additional_event_types.json,270,,15875
Period20_procedure_steps_all_additional_event_types.json,271,,15791
Period20_procedure_steps_all_additional_event_types.json,272,,25375
Period20_procedure_steps_all_additional_event_types.json,273,,15792
Period20_procedure_steps_all_additional_event_types.json,274,,15792
Period20_procedure_steps_all_additional_event_types.json,275,,15959
Period20_procedure_steps_all_additional_event_types.json,276,,16958
Period20_procedure_steps_all_additional_event_types.json,277,,15584
Period20_procedure_steps_all_additional_event_types.json,278,,16084
Period20_procedure_steps_all_additional_event_types.json,279,,15750
Period20_procedure_steps_all_additional_event_types.json,280,,15666
Period20_procedure_steps_all_additional_event_types.json,281,,17125
Period20_procedure_steps_all_additional_event_types.json,282,,16792
Period20_procedure_steps_all_additional_event_types.json,283,,18875
Period20_procedure_steps_all_additional_event_types.json,284,,18250
Period20_procedure_steps_all_additional_event_types.json,285,,18708
Period20_procedure_steps_all_additional_event_types.json,286,,18958
Period20_procedure_steps_all_additional_event_types.json,287,,18750
Period20_procedure_steps_all_additional_event_types.json,288,,19209
